DateTime,EndDateTime,DeviceId,Aggregation,AppName,AppPublisher
"10/21/2023 12:00:00 AM +00:00","10/21/2023 11:59:59 PM +00:00",,Daily,unlocked.microsoft.com,Microsoft Corporation
"10/21/2023 12:00:00 AM +00:00","10/21/2023 11:59:59 PM +00:00",,Daily,support.microsoft.com,Microsoft Corporation
"10/21/2023 12:00:00 AM +00:00","10/21/2023 11:59:59 PM +00:00",,Daily,www.microsoft.com,Microsoft Corporation
"10/21/2023 12:00:00 AM +00:00","10/21/2023 11:59:59 PM +00:00",,Daily,www.microsoft.com,Microsoft Corporation
"10/21/2023 12:00:00 AM +00:00","10/21/2023 11:59:59 PM +00:00",,Daily,account.microsoft.com,Microsoft Corporation
"10/21/2023 12:00:00 AM +00:00","10/21/2023 11:59:59 PM +00:00",,Daily,support.microsoft.com,Microsoft Corporation
"10/21/2023 12:00:00 AM +00:00","10/21/2023 11:59:59 PM +00:00",,Daily,support.microsoft.com,Microsoft Corporation
"10/21/2023 12:00:00 AM +00:00","10/21/2023 11:59:59 PM +00:00",,Daily,www.microsoft.com,Microsoft Corporation
"10/21/2023 12:00:00 AM +00:00","10/21/2023 11:59:59 PM +00:00",,Daily,www.microsoft.com,Microsoft Corporation
"10/21/2023 12:00:00 AM +00:00","10/21/2023 11:59:59 PM +00:00",,Daily,www.microsoft.com,Microsoft Corporation
"10/21/2023 12:00:00 AM +00:00","10/21/2023 11:59:59 PM +00:00",,Daily,appsource.microsoft.com,Microsoft Corporation
"10/21/2023 12:00:00 AM +00:00","10/21/2023 11:59:59 PM +00:00",,Daily,www.microsoft.com,Microsoft Corporation
"10/21/2023 12:00:00 AM +00:00","10/21/2023 11:59:59 PM +00:00",,Daily,www.microsoft.com,Microsoft Corporation
"10/21/2023 12:00:00 AM +00:00","10/21/2023 11:59:59 PM +00:00",,Daily,www.microsoft.com,Microsoft Corporation
"10/20/2023 12:00:00 AM +00:00","10/20/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"10/19/2023 12:00:00 AM +00:00","10/19/2023 11:59:59 PM +00:00",,Daily,Microsoft Word,Microsoft Corporation
"10/19/2023 12:00:00 AM +00:00","10/19/2023 11:59:59 PM +00:00",,Daily,Office Shared Components,Microsoft Corporation
"10/19/2023 12:00:00 AM +00:00","10/19/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"10/19/2023 12:00:00 AM +00:00","10/19/2023 11:59:59 PM +00:00",,Daily,Microsoft Store,Microsoft Corporation
"10/18/2023 12:00:00 AM +00:00","10/18/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"10/17/2023 12:00:00 AM +00:00","10/17/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"10/16/2023 12:00:00 AM +00:00","10/16/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"10/15/2023 12:00:00 AM +00:00","10/15/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"10/14/2023 12:00:00 AM +00:00","10/14/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"10/13/2023 12:00:00 AM +00:00","10/13/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"10/12/2023 12:00:00 AM +00:00","10/12/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"10/11/2023 12:00:00 AM +00:00","10/11/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"10/10/2023 12:00:00 AM +00:00","10/10/2023 11:59:59 PM +00:00",,Daily,Microsoft Store,Microsoft Corporation
"10/10/2023 12:00:00 AM +00:00","10/10/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"10/9/2023 12:00:00 AM +00:00","10/9/2023 11:59:59 PM +00:00",,Daily,Microsoft Word,Microsoft Corporation
"10/9/2023 12:00:00 AM +00:00","10/9/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"10/8/2023 12:00:00 AM +00:00","10/8/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"10/7/2023 12:00:00 AM +00:00","10/7/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"10/6/2023 12:00:00 AM +00:00","10/6/2023 11:59:59 PM +00:00",,Daily,Microsoft Word,Microsoft Corporation
"10/6/2023 12:00:00 AM +00:00","10/6/2023 11:59:59 PM +00:00",,Daily,Microsoft Store,Microsoft Corporation
"10/6/2023 12:00:00 AM +00:00","10/6/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"10/6/2023 12:00:00 AM +00:00","10/6/2023 11:59:59 PM +00:00",,Daily,Bing,Microsoft Corporation
"10/5/2023 12:00:00 AM +00:00","10/5/2023 11:59:59 PM +00:00",,Daily,Microsoft Word,Microsoft Corporation
"10/5/2023 12:00:00 AM +00:00","10/5/2023 11:59:59 PM +00:00",,Daily,Microsoft Store,Microsoft Corporation
"10/5/2023 12:00:00 AM +00:00","10/5/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"10/4/2023 12:00:00 AM +00:00","10/4/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"10/3/2023 12:00:00 AM +00:00","10/3/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"10/2/2023 12:00:00 AM +00:00","10/2/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"10/1/2023 12:00:00 AM +00:00","10/1/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"9/30/2023 12:00:00 AM +00:00","9/30/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"9/29/2023 12:00:00 AM +00:00","9/29/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"9/28/2023 12:00:00 AM +00:00","9/28/2023 11:59:59 PM +00:00",,Daily,Microsoft Word,Microsoft Corporation
"9/28/2023 12:00:00 AM +00:00","9/28/2023 11:59:59 PM +00:00",,Daily,Microsoft Store,Microsoft Corporation
"9/28/2023 12:00:00 AM +00:00","9/28/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"9/27/2023 12:00:00 AM +00:00","9/27/2023 11:59:59 PM +00:00",,Daily,account.microsoft.com,Microsoft Corporation
"9/27/2023 12:00:00 AM +00:00","9/27/2023 11:59:59 PM +00:00",,Daily,Microsoft Outlook,Microsoft Corporation
"9/27/2023 12:00:00 AM +00:00","9/27/2023 11:59:59 PM +00:00",,Daily,Microsoft Word,Microsoft Corporation
"9/27/2023 12:00:00 AM +00:00","9/27/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"9/27/2023 12:00:00 AM +00:00","9/27/2023 11:59:59 PM +00:00",,Daily,Office Shared Components,Microsoft Corporation
"9/26/2023 12:00:00 AM +00:00","9/26/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"9/25/2023 12:00:00 AM +00:00","9/25/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"9/24/2023 12:00:00 AM +00:00","9/24/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"9/23/2023 12:00:00 AM +00:00","9/23/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"9/22/2023 12:00:00 AM +00:00","9/22/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"9/21/2023 12:00:00 AM +00:00","9/21/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"9/20/2023 12:00:00 AM +00:00","9/20/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
